Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Cristhian Martinez,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,419000
Curtis Granderson,New York Yankees,Outfielder,No,American,American East,Yes,Yes,No,8250000
D.J. Carrasco,New York Mets,Pitcher,Yes,National,National East,No,No,No,1200000
Daisuke Matsuzaka,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,10333333
Dallas Braden,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,3350000
Damaso Marte,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,4000000
Dan Haren,Los Angeles Angels,Pitcher,Yes,American,American West,No,No,No,12750000
Dan Hudson,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,419000
Dan Johnson,Tampa Bay Rays,First Baseman,No,American,American East,No,Yes,No,1000000
Dan Runzler,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,418500
Dan Uggla,Atlanta Braves,Second Baseman,No,National,National East,No,No,No,9146942
Dan Wheeler,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,3000000
Daniel Bard,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,505000
Daniel Descalso,St. Louis Cardinals,Second Baseman,No,National,National Central,No,Yes,Yes,414000
Daniel Murphy,New York Mets,Second Baseman,No,National,National East,No,No,No,422000
Daniel Schlereth,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,418000
Danny Espinosa,Washington Nationals,Shortstop,No,National,National East,No,No,No,415000
Danny Valencia,Minnesota Twins,Third Baseman,No,American,American Central,No,No,No,437500
Danys Baez,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,2750000
Daric Barton,Oakland Athletics,First Baseman,No,American,American West,No,No,No,425000
Darnell McDonald,Boston Red Sox,Outfielder,No,American,American East,No,No,No,470000
Darren O'Day,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,1251000
Darren Oliver,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,3250000
Darwin Barney,Chicago Cubs,Shortstop,No,National,National Central,No,No,No,417000
Dave Bush,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,1000000
David Aardsma,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,4500000
David DeJesus,Oakland Athletics,Outfielder,No,American,American West,No,No,No,6000000
David Freese,St. Louis Cardinals,Third Baseman,No,National,National Central,No,Yes,Yes,416000
David Herndon,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,425000
David J. Hernandez,Arizona Diamondbacks,Pitcher,Yes,National,National West,No,Yes,No,423500
David Murphy,Texas Rangers,Outfielder,No,American,American West,No,Yes,Yes,2400000
David Ortiz,Boston Red Sox,Designated Hitter,No,American,American East,No,No,No,12500000
David Pauley,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,422000
David Price,Tampa Bay Rays,Pitcher,Yes,American,American East,No,Yes,No,2084671
David Purcey,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,436400
David Robertson,New York Yankees,Pitcher,Yes,American,American East,Yes,Yes,No,460450
David Ross,Atlanta Braves,Catcher,No,National,National East,No,No,No,1625000
David Wright,New York Mets,Third Baseman,No,National,National East,No,No,No,14250000
Dayan Viciedo,Chicago White Sox,Third Baseman,No,American,American Central,No,No,No,2250000
Delmon Young,Minnesota Twins,Outfielder,No,American,American Central,No,No,No,5375000
Denard Span,Minnesota Twins,Outfielder,No,American,American Central,No,No,No,1000000
Dennys Reyes,Boston Red Sox,Pitcher,Yes,American,American East,No,No,No,900000
Derek Holland,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,431810
Derek Jeter,New York Yankees,Shortstop,No,American,American East,Yes,Yes,No,14729364
Derek Lowe,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,15000000
Derrek Lee,Baltimore Orioles,First Baseman,No,American,American East,No,No,No,7250000
Dexter Fowler,Colorado Rockies,Outfielder,No,National,National West,No,No,No,424000
Dioner Navarro,Los Angeles Dodgers,Catcher,No,National,National West,No,No,No,1000000
Domonic Brown,Philadelphia Phillies,Outfielder,No,National,National East,No,Yes,No,414000
Don Kelly,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,423000
Donnie Murphy,Miami Marlins,Third Baseman,No,National,National East,No,No,No,425000
Doug Fister,Seattle Mariners,Pitcher,Yes,American,American West,No,No,No,436500
Doug Slaten,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,695000
Drew Butera,Minnesota Twins,Catcher,No,American,American Central,No,No,No,429000
Drew Storen,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,418000
Drew Stubbs,Cincinnati Reds,Outfielder,No,National,National Central,No,No,No,450000
Dustin McGowan,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,450000
Dustin Moseley,San Diego Padres,Pitcher,Yes,National,National West,No,No,No,900000
Dustin Pedroia,Boston Red Sox,Second Baseman,No,American,American East,No,No,No,5750000
Dusty Hughes,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,429000
Edgar Renteria,Cincinnati Reds,Shortstop,No,National,National Central,No,No,No,2068391
Edinson Volquez,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,1625000
Eduardo Nunez,New York Yankees,Shortstop,No,American,American East,Yes,Yes,No,419300
Edward Mujica,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,800000
Edwin Encarnacion,Toronto Blue Jays,Third Baseman,No,American,American East,No,No,No,2500000
Edwin Jackson,Chicago White Sox,Pitcher,Yes,American,American Central,No,No,No,8750000
Eli Whiteside,San Francisco Giants,Catcher,No,National,National West,No,No,No,425000
Elliot Johnson,Tampa Bay Rays,Second Baseman,No,American,American East,No,Yes,No,414900
Elvin Ramirez,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,414000
Elvis Andrus,Texas Rangers,Shortstop,No,American,American West,No,Yes,Yes,452180
Emilio Bonifacio,Miami Marlins,Third Baseman,No,National,National East,No,No,No,425000
Enerio Del Rosario,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,417000
Enrique Gonzalez,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,435000
Eric Chavez,New York Yankees,Third Baseman,No,American,American East,Yes,Yes,No,1500000
Eric Hinske,Atlanta Braves,Outfielder,No,National,National East,No,No,No,1350000
Eric O'Flaherty,Atlanta Braves,Pitcher,Yes,National,National East,No,No,No,895000
